protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.15,circuit3647.qasm,7,1,1,✓,54
FK12,malicious,0.15,circuit9367.qasm,5,1,1,✓,62
FK12,malicious,0.2,circuit5613.qasm,8,0,0,✓,41
FK12,malicious,0.2,circuit3669.qasm,8,0,0,✓,39
FK12,malicious,0.15,circuit8891.qasm,5,0,0,✓,36
FK12,malicious,0.2,circuit5296.qasm,11,1,1,✓,60
FK12,malicious,0.2,circuit1737.qasm,10,1,1,✓,67
FK12,malicious,0.2,circuit8891.qasm,5,0,0,✓,38
FK12,malicious,0.15,circuit2471.qasm,10,0,0,✓,29
FK12,malicious,0.15,circuit3498.qasm,9,1,0,✗,55
FK12,malicious,0.15,circuit4099.qasm,5,1,1,✓,65
FK12,malicious,0.15,circuit3783.qasm,7,1,1,✓,63
FK12,malicious,0.15,circuit8242.qasm,5,1,1,✓,53
FK12,malicious,0.15,circuit0086.qasm,7,0,0,✓,30
FK12,malicious,0.2,circuit2471.qasm,6,0,0,✓,44
FK12,malicious,0.15,circuit0581.qasm,7,1,1,✓,62
FK12,malicious,0.15,circuit4909.qasm,7,0,0,✓,39
FK12,malicious,0.15,circuit4708.qasm,5,1,1,✓,58
FK12,malicious,0.15,circuit0427.qasm,8,0,0,✓,33
FK12,malicious,0.15,circuit6424.qasm,6,0,0,✓,42
FK12,malicious,0.15,circuit0662.qasm,8,0,0,✓,42
FK12,malicious,0.15,circuit8433.qasm,9,0,0,✓,41
FK12,malicious,0.15,circuit8036.qasm,6,1,1,✓,60
FK12,malicious,0.15,circuit1665.qasm,7,0,0,✓,42
FK12,malicious,0.15,circuit8725.qasm,6,0,0,✓,31
FK12,malicious,0.15,circuit5432.qasm,5,0,0,✓,32
FK12,malicious,0.15,circuit0499.qasm,6,1,1,✓,61
FK12,malicious,0.2,circuit3498.qasm,5,1,0,✗,55
FK12,malicious,0.15,circuit6104.qasm,4,0,0,✓,35
FK12,malicious,0.15,circuit7197.qasm,7,1,1,✓,56
FK12,malicious,0.15,circuit5104.qasm,7,1,1,✓,66
FK12,malicious,0.15,circuit2424.qasm,5,1,1,✓,71
FK12,malicious,0.2,circuit2587.qasm,8,1,1,✓,57
FK12,malicious,0.2,circuit0742.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit9081.qasm,6,1,1,✓,70
FK12,malicious,0.15,circuit9451.qasm,8,1,1,✓,52
FK12,malicious,0.15,circuit5516.qasm,4,0,0,✓,33
FK12,malicious,0.2,circuit0571.qasm,8,0,0,✓,39
FK12,malicious,0.2,circuit3783.qasm,10,1,1,✓,62
FK12,malicious,0.15,circuit6474.qasm,3,1,1,✓,63
FK12,malicious,0.15,circuit8579.qasm,9,1,1,✓,56
FK12,malicious,0.15,circuit8389.qasm,6,0,0,✓,40
FK12,malicious,0.15,circuit9803.qasm,10,0,0,✓,49
FK12,malicious,0.15,circuit2204.qasm,8,1,0,✗,50
FK12,malicious,0.2,circuit3589.qasm,9,0,0,✓,42
FK12,malicious,0.15,circuit8753.qasm,5,0,0,✓,35
FK12,malicious,0.2,circuit4099.qasm,8,1,1,✓,65
FK12,malicious,0.15,circuit8024.qasm,4,1,1,✓,57
FK12,malicious,0.2,circuit6547.qasm,9,0,0,✓,38
FK12,malicious,0.2,circuit4079.qasm,9,0,0,✓,35
